,STATE,NAME,geometry
30208,FL,walgreens,POINT (-81.7804184 26.6121541)
30209,FL,walgreens,POINT (-81.7595753 26.7003558)
30210,FL,cvs,POINT (-82.1036734 29.1873959)
30217,FL,walgreens,POINT (-82.3401251 26.9374848)
30218,FL,"walmart, wal-mart",POINT (-82.86771 29.502314)
30219,FL,walgreens,POINT (-81.8870567 26.6629558)
30220,FL,walgreens,POINT (-81.9419321 26.6017928)
30221,FL,walgreens,POINT (-81.9736032 26.6516827)
30222,FL,cvs,POINT (-82.1165238 26.9956059)
30223,FL,cvs,POINT (-81.7998474 26.2105535)
30224,FL,cvs,POINT (-81.7954999 26.1442908)
30225,FL,walgreens,POINT (-81.7000395 26.0629246)
30226,FL,walgreens,POINT (-81.7299822 26.2131381)
30227,FL,walgreens,POINT (-81.8012256 26.2939268)
30229,FL,walgreens,POINT (-81.9431519 26.5154126)
30230,FL,walgreens,POINT (-85.8002999 30.1791464)
30231,FL,walgreens,POINT (-81.941331 26.6226384)
30232,FL,"walmart, wal-mart",POINT (-81.9370908 26.6207735)
30235,FL,cvs,POINT (-82.7082193 27.4965995)
30236,FL,walgreens,POINT (-81.8708169 26.5570089)
30237,FL,cvs,POINT (-82.4728212 28.9152328)
30238,FL,"walmart, wal-mart",POINT (-85.5932933 30.1615499)
30239,FL,cvs,POINT (-81.9255028 28.0231947)
30240,FL,walgreens,POINT (-81.9459293 28.1289043)
30241,FL,walgreens,POINT (-81.9559486 27.9862221)
30246,FL,cvs,POINT (-82.4026224 28.540771)
30247,FL,cvs,POINT (-81.7133411 28.0034577)
30248,FL,cvs,POINT (-82.5708098 28.5178728)
30253,FL,walgreens,POINT (-81.80056 26.2716716)
30254,FL,walgreens,POINT (-82.1109624 29.9441028)
30255,FL,walgreens,POINT (-82.7322832 28.2247461)
30256,FL,walgreens,POINT (-82.3500497 28.2369241)
30258,FL,"walmart, wal-mart",POINT (-82.1302862 29.9222903)
30262,FL,cvs,POINT (-82.7268369 28.2384782)
30263,FL,cvs,POINT (-81.7699853 26.244409)
30265,FL,cvs,POINT (-82.6398497 30.1844383)
30266,FL,walgreens,POINT (-81.7128295 30.1016779)
30267,FL,cvs,POINT (-82.0314379 29.7867465)
30268,FL,walgreens,POINT (-81.7399922 30.1864773)
30273,FL,cvs,POINT (-81.8513323 26.6995245)
30275,FL,cvs,POINT (-81.805435 26.333037)
30276,FL,cvs,POINT (-82.5636285 27.4943262)
30277,FL,cvs,POINT (-82.0778463 26.4370299)
30278,FL,cvs,POINT (-81.9035479 26.5572864)
30279,FL,cvs,POINT (-81.9401723 26.6300683)
30280,FL,walgreens,POINT (-82.3884682 29.7019587)
30282,FL,walgreens,POINT (-82.8710562 29.503317)
30284,FL,"walmart, wal-mart",POINT (-81.8992413 28.8425243)
30288,FL,"walmart, wal-mart",POINT (-82.1856485 28.3422321)
30289,FL,"walmart, wal-mart",POINT (-82.4823881 27.4958855)
